Laptop Model;Price;Description
HP Victus Gaming Laptop;8400;Equipped with an Intel Core i7-14650HX processor, 16.1-inch display, 16 GB RAM, and 1 TB storage, this laptop is designed for gaming enthusiasts seeking high performance. 
HP OMEN Gaming Laptop;11200;Features an AMD Ryzen 9-8945HS processor, 17.3-inch screen, 32 GB RAM, and 1 TB storage, offering a premium gaming experience with advanced graphics capabilities. 
HP OmniBook Flip 2-in-1 Laptop;9400;A versatile convertible laptop with an Intel Core Ultra 7 256V processor, 14-inch touchscreen, 16 GB RAM, and 1 TB storage, suitable for both work and entertainment. 
HP Notebook Laptop (AMD Ryzen 7);3150;This 15.6-inch laptop comes with an AMD Ryzen 7-7730U processor, 16 GB RAM, and 512 GB storage, ideal for everyday tasks and multitasking. 
HP Pavilion Laptop;5800;Featuring an Intel Core Ultra 7 155U processor, 16-inch display, 16 GB RAM, and 1 TB storage, this laptop balances performance and style for both work and play. 
Dell Latitude E7470;2792;A reliable 14-inch laptop with a Core i5-6300U processor, 8 GB RAM, and 256 GB SSD, suitable for business professionals requiring dependable performance.
"Asus Vivobook Slim 15.6""";400;This budget-friendly laptop offers a Full HD 4K display, Intel i5-1035G1 processor, 8 GB RAM, and 1 TB storage, ideal for everyday computing needs.
Acer Chromebook 511 (C734T);600;A compact and affordable Chromebook with a user-friendly interface, suitable for students and light computing tasks.
HP Notebook Laptop (AMD Ryzen 5);2450;Equipped with an AMD Ryzen 5-7520U processor, 15.6-inch display, 8 GB RAM, and 512 GB storage, this laptop is perfect for daily use and moderate multitasking. 
HP EliteBook 840 G11 Laptop;9000;A premium 14-inch laptop featuring an Intel Core Ultra 7 155U processor, 32 GB RAM, and 1 TB storage, designed for professionals seeking top-tier performance and portability. 
